individual_tree_id;species_id;method;year_monitored;branching;canopy_size;height;health;years_after_planting
1193;280;PowerCoat;2018;NA;nan;22;NA;0
1198;280;PowerCoat;2018;NA;nan;26;NA;0
1195;285;PowerCoat;2018;NA;nan;24;NA;0
1201;283;PowerCoat;2018;NA;nan;30;NA;0
1204;285;PowerCoat;2018;NA;nan;20;NA;0
1209;285;PowerCoat;2018;NA;nan;14;NA;0
1230;284;PowerCoat;2018;NA;nan;66;NA;0
1247;285;PowerCoat;2018;NA;nan;22;NA;0
1259;285;PowerCoat;2018;NA;nan;22;NA;0
1257;283;PowerCoat;2018;NA;nan;30;NA;0
1260;283;PowerCoat;2018;NA;nan;36;NA;0
1280;283;PowerCoat;2018;NA;nan;28;NA;0
1286;283;PowerCoat;2018;NA;nan;22;NA;0
1285;285;PowerCoat;2018;NA;nan;16;NA;0
1299;285;PowerCoat;2018;NA;nan;26;NA;0
1298;283;PowerCoat;2018;NA;nan;30;NA;0
1296;285;PowerCoat;2018;NA;nan;28;NA;0
1310;284;PowerCoat;2018;NA;nan;52;NA;0
1315;284;PowerCoat;2018;NA;nan;76;NA;0
1325;284;PowerCoat;2018;NA;nan;44;NA;0
1350;282;PowerCoat;2018;NA;nan;24;NA;0
1343;282;PowerCoat;2018;NA;nan;16;NA;0
1366;284;PowerCoat;2018;NA;nan;62;NA;0
1363;284;PowerCoat;2018;NA;nan;72;NA;0
1389;282;PowerCoat;2018;NA;nan;12;NA;0
1392;282;PowerCoat;2018;NA;nan;18;NA;0
1391;282;PowerCoat;2018;NA;nan;24;NA;0
1400;280;Mycorrhiza;2018;NA;nan;44;NA;0
1399;280;Mycorrhiza;2018;NA;nan;54;NA;0
1412;285;Mycorrhiza;2018;NA;nan;38;NA;0
1418;285;Mycorrhiza;2018;NA;nan;46;NA;0
1415;285;Mycorrhiza;2018;NA;nan;34;NA;0
1421;285;Mycorrhiza;2018;NA;nan;44;NA;0
1423;285;Mycorrhiza;2018;NA;nan;60;NA;0
1427;285;Mycorrhiza;2018;NA;nan;66;NA;0
1437;285;Mycorrhiza;2018;NA;nan;58;NA;0
1436;283;Mycorrhiza;2018;NA;nan;46;NA;0
1435;283;Mycorrhiza;2018;NA;nan;64;NA;0
1434;285;Mycorrhiza;2018;NA;nan;34;NA;0
1442;284;PowerCoat;2018;NA;nan;50;NA;0
1448;284;PowerCoat;2018;NA;nan;70;NA;0
1456;282;Mycorrhiza;2018;NA;nan;50;NA;0
1455;282;Mycorrhiza;2018;NA;nan;48;NA;0
1460;282;Mycorrhiza;2018;NA;nan;26;NA;0
1457;284;Mycorrhiza;2018;NA;nan;58;NA;0
1461;284;PowerCoat;2018;NA;nan;74;NA;0
1468;284;PowerCoat;2018;NA;nan;70;NA;0
1467;284;PowerCoat;2018;NA;nan;70;NA;0
1466;282;PowerCoat;2018;NA;nan;24;NA;0
1471;284;PowerCoat;2018;NA;nan;66;NA;0
1470;282;PowerCoat;2018;NA;nan;28;NA;0
1469;284;PowerCoat;2018;NA;nan;48;NA;0
1476;282;Mycorrhiza;2018;NA;nan;42;NA;0
1475;282;Mycorrhiza;2018;NA;nan;26;NA;0
1474;282;Mycorrhiza;2018;NA;nan;34;NA;0
1473;284;Mycorrhiza;2018;NA;nan;80;NA;0
1480;282;Mycorrhiza;2018;NA;nan;46;NA;0
1478;284;PowerCoat;2018;NA;nan;80;NA;0
1477;282;PowerCoat;2018;NA;nan;44;NA;0
1485;285;PowerCoat;2018;NA;nan;28;NA;0
1503;285;Mycorrhiza;2018;NA;nan;24;NA;0
1502;283;Mycorrhiza;2018;NA;nan;24;NA;0
1511;285;Fencing;2018;NA;nan;18;NA;0
1508;284;Mycorrhiza;2018;NA;nan;66;NA;0
